datetime,symbol,name,open,high,low,close,volume
2026-09-09 11:16:00,005930,삼성전자,273500,273500,273000,273000,21932
2026-09-09 11:17:00,005930,삼성전자,273000,273500,273000,273250,10016
2026-09-09 11:18:00,005930,삼성전자,273250,273500,273000,273500,11233
2026-09-09 11:19:00,005930,삼성전자,273250,274000,273000,273500,79706
2026-09-09 11:20:00,005930,삼성전자,273500,273500,273000,273250,19312
2026-09-09 11:21:00,005930,삼성전자,273250,273500,273000,273000,7918
2026-09-09 11:22:00,005930,삼성전자,273000,273250,273000,273000,5773
2026-09-09 11:23:00,005930,삼성전자,273250,273500,273000,273500,43295
2026-09-09 11:24:00,005930,삼성전자,273000,273500,273000,273500,12965
2026-09-09 11:25:00,005930,삼성전자,273500,273500,273000,273000,12046
2026-09-09 11:26:00,005930,삼성전자,273500,273500,273000,273500,13312
2026-09-09 11:27:00,005930,삼성전자,273250,274000,273000,273500,96005
2026-09-09 11:28:00,005930,삼성전자,273500,273500,273250,273250,12530
2026-09-09 11:29:00,005930,삼성전자,273250,273500,273000,273000,42307
2026-09-09 11:30:00,005930,삼성전자,273000,273500,273000,273250,3020
2026-09-09 11:31:00,005930,삼성전자,273000,273500,273000,273250,10308
2026-09-09 11:32:00,005930,삼성전자,273250,274000,273000,273500,76991
2026-09-09 11:33:00,005930,삼성전자,273500,274000,273500,273500,68870
2026-09-09 11:34:00,005930,삼성전자,274000,274500,273500,274000,72896
2026-09-09 11:35:00,005930,삼성전자,274000,274500,274000,274000,138126
2026-09-09 11:36:00,005930,삼성전자,274500,274500,274000,274000,33272
2026-09-09 11:37:00,005930,삼성전자,274000,274500,273750,274000,35167
2026-09-09 11:38:00,005930,삼성전자,274000,274500,273500,274000,63500
2026-09-09 11:39:00,005930,삼성전자,274000,274500,274000,274500,10825
2026-09-09 11:40:00,005930,삼성전자,274000,274500,274000,274250,13989
2026-09-09 11:41:00,005930,삼성전자,274500,274500,274000,274250,33525
2026-09-09 11:42:00,005930,삼성전자,274500,275000,274000,274500,72543
2026-09-09 11:43:00,005930,삼성전자,274500,274750,274500,274500,29835
2026-09-09 11:44:00,005930,삼성전자,274500,275000,274500,275000,62383
2026-09-09 11:45:00,005930,삼성전자,274750,275000,274500,274500,49635
2026-09-09 11:46:00,005930,삼성전자,274500,275000,274000,274250,62873
2026-09-09 11:47:00,005930,삼성전자,274000,274250,274000,274000,3704
2026-09-09 11:48:00,005930,삼성전자,274250,274500,274000,274250,14885
2026-09-09 11:49:00,005930,삼성전자,274500,274500,274000,274500,7380
2026-09-09 11:50:00,005930,삼성전자,274500,274500,274000,274500,9856
2026-09-09 11:51:00,005930,삼성전자,274500,274500,274000,274250,10279
2026-09-09 11:52:00,005930,삼성전자,274000,274250,274000,274000,5161
2026-09-09 11:53:00,005930,삼성전자,274250,274250,273500,273750,81879
2026-09-09 11:54:00,005930,삼성전자,273500,274000,273500,273500,11352
2026-09-09 11:55:00,005930,삼성전자,274000,274000,273500,273750,4628
2026-09-09 11:56:00,005930,삼성전자,273500,273750,273500,273500,3772
2026-09-09 11:57:00,005930,삼성전자,273500,274000,273500,274000,43600
2026-09-09 11:58:00,005930,삼성전자,273750,274000,273500,273750,9048
2026-09-09 11:59:00,005930,삼성전자,273750,274000,273750,274000,7926
2026-09-09 12:00:00,005930,삼성전자,274000,274500,273750,274000,46520
2026-09-09 12:01:00,005930,삼성전자,274000,274250,273500,273750,46941
2026-09-09 12:02:00,005930,삼성전자,273750,273750,273000,273000,46353
2026-09-09 12:03:00,005930,삼성전자,273250,273500,273000,273000,4519
2026-09-09 12:04:00,005930,삼성전자,273000,273500,273000,273000,3950
2026-09-09 12:05:00,005930,삼성전자,273000,273250,272000,272250,102430
2026-09-09 12:06:00,005930,삼성전자,272000,272500,272000,272250,10399
2026-09-09 12:07:00,005930,삼성전자,272250,272500,272000,272000,8477
2026-09-09 12:08:00,005930,삼성전자,272500,272500,272000,272000,5392
2026-09-09 12:09:00,005930,삼성전자,272250,272500,272000,272000,8784
2026-09-09 12:10:00,005930,삼성전자,272000,272500,272000,272000,8114
2026-09-09 12:11:00,005930,삼성전자,272000,273000,272000,272750,54067
2026-09-09 12:12:00,005930,삼성전자,272750,273000,271750,271750,100420
2026-09-09 12:13:00,005930,삼성전자,271500,272500,271500,272000,58373
2026-09-09 12:14:00,005930,삼성전자,271750,272000,271500,272000,4853
2026-09-09 12:15:00,005930,삼성전자,271750,272500,271500,272250,33137
2026-09-09 12:16:00,005930,삼성전자,272250,272500,272000,272250,5627
2026-09-09 12:17:00,005930,삼성전자,272250,272500,272000,272500,17635
2026-09-09 12:18:00,005930,삼성전자,272500,273000,272000,272250,71118
2026-09-09 12:19:00,005930,삼성전자,272000,272500,272000,272250,10005
2026-09-09 12:20:00,005930,삼성전자,272000,272500,272000,272250,6761
2026-09-09 12:21:00,005930,삼성전자,272000,272250,271500,272000,39023
2026-09-09 12:22:00,005930,삼성전자,272000,272000,271500,271750,6962
2026-09-09 12:23:00,005930,삼성전자,271750,271750,271500,271750,15337
2026-09-09 12:24:00,005930,삼성전자,271500,271750,271500,271750,5667
2026-09-09 12:25:00,005930,삼성전자,271500,271750,271500,271500,20700
2026-09-09 12:26:00,005930,삼성전자,271500,272000,271000,271500,91665
2026-09-09 12:27:00,005930,삼성전자,271500,272000,271000,271500,47477
2026-09-09 12:28:00,005930,삼성전자,271000,271750,271000,271500,34488
2026-09-09 12:29:00,005930,삼성전자,271500,271750,271500,271750,5063
2026-09-09 12:30:00,005930,삼성전자,271500,272000,271500,271500,7437
2026-09-09 12:31:00,005930,삼성전자,271750,272000,271500,271750,14152
2026-09-09 12:32:00,005930,삼성전자,271750,272000,271500,271500,12889
2026-09-09 12:33:00,005930,삼성전자,272000,272000,271500,271750,8052
2026-09-09 12:34:00,005930,삼성전자,271750,272000,271500,271750,7309
2026-09-09 12:35:00,005930,삼성전자,271750,272000,271500,271750,14118
2026-09-09 12:36:00,005930,삼성전자,272000,272000,271750,272000,5899
2026-09-09 12:37:00,005930,삼성전자,271750,272000,271500,271750,12598
2026-09-09 12:38:00,005930,삼성전자,271500,271750,271500,271750,12981
